Short Name,Long Name,Base Price,Current Price,Number of Days,Average Rating,Number of Reviews,List of Images,Link
Phòng tại Dalat,Căn phòng giá rẻ,604824,604824,2,5.0,41,https://a0.muscache.com/im/pictures/miso/Hosting-1242540737594712310/original/b00e5866-a19a-4bdc-a667-ec80d407aef0.jpeg,https://www.airbnb.com.vn/rooms/1304088499199128223
Phòng tại Dalat,Phòng tối giản trên núi 1 | Tầm nhìn ra mây và hoàng hôn,1259351,1259351,2,4.9,62,https://a0.muscache.com/im/pictures/miso/Hosting-966487164949434955/original/4380fb09-16cc-426e-8d82-a1891c794708.jpeg,https://www.airbnb.com.vn/rooms/966487164949434955
Nhà siêu nhỏ tại Dalat,"Cabin ấm cúng, hiên nhà và vườn ấm áp",1829692,1829692,2,4.98,42,https://a0.muscache.com/im/pictures/miso/Hosting-1110614071363101241/original/81fe8e71-2570-4f42-a188-5d1b4e0aa570.jpeg,https://www.airbnb.com.vn/rooms/1110614071363101241
Căn hộ tại Dalat,Căn hộ Farmhouse ở trung tâm thành phố Đà Lạt,5403988,4792943,2,5.0,11,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMzMTUwNjc1MTU4NTcyNjI0OA==/original/5dc68aa6-8367-4ed9-9d2b-ad461897cad3.jpeg,https://www.airbnb.com.vn/rooms/1331506751585726248
Căn hộ tại Dalat,"Studio và bồn tắm trong rừng | Bếp riêng, Ban công",3241310,2917180,2,4.97,29,https://a0.muscache.com/im/pictures/hosting/Hosting-1353653864064161285/original/736f6de3-2004-4bab-b151-074c43995dd1.jpeg,https://www.airbnb.com.vn/rooms/1353653864064161285
Khách sạn tại Dalat,Kim Quỳnh House 2,1191392,1034561,2,4.97,33,https://a0.muscache.com/im/pictures/hosting/Hosting-1212216029920237206/original/45a457af-31f2-4c1f-b514-a1e0a447a9d9.jpeg,https://www.airbnb.com.vn/rooms/1212216029920237206
Căn hộ tại Dalat,Penthouse 2 tầng nằm ở trung tâm Đà Lạt,5934120,5934120,2,5.0,27,https://a0.muscache.com/im/pictures/miso/Hosting-1331507093943308869/original/ee7d8053-985b-4ab6-ad4f-89b0e7f0f1b7.jpeg,https://www.airbnb.com.vn/rooms/1331507093943308869
Phòng tại Dalat,Lều gỗ phong cách Bắc Âu tại Đà Lạt -toilet riêng,1243200,1076700,2,4.97,60,https://a0.muscache.com/im/pictures/miso/Hosting-863996371657185564/original/815e3612-8aba-4339-b0ea-c747135b1797.jpeg,https://www.airbnb.com.vn/rooms/865463728918909002
Phòng tại Dalat,Mèo Ổi~ PrivateWC&Kitchen~Không thích hợp cho trẻ em,1415059,1415059,2,5.0,17,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Nzk2MDc0ODU4NDU1OTMwMTI2/original/21aad889-7f79-4789-b69a-8d7e8799a2cf.jpeg,https://www.airbnb.com.vn/rooms/796074858455930126
Nhà tại Dalat,Nhà gỗ mộc mạc ở Đà Lạt,3407670,3407670,2,4.98,50,https://a0.muscache.com/im/pictures/hosting/Hosting-1090711641803055069/original/0aec0795-6045-4e17-8282-b81b0756266f.jpeg,https://www.airbnb.com.vn/rooms/1090711641803055069
Cabin tại Dalat,Căn Family nguyên căn 2 phòng ngủ- Lavita home,3557080,3252354,2,4.97,91,https://a0.muscache.com/im/pictures/8f9cbc81-d277-48e7-a2fc-081cd641b2f0.jpg,https://www.airbnb.com.vn/rooms/875995689888206332
Căn hộ tại Dalat,căn hộ cho thuê,3195296,3195296,2,4.89,148,https://a0.muscache.com/im/pictures/hosting/Hosting-815516368820181027/original/3c0c8e53-6afe-4163-a150-9c3f8f870542.jpeg,https://www.airbnb.com.vn/rooms/815516368820181027
Nhà tại Dalat,1 phòng ngủ ấm áp tại trung tâm thành phố Đà Lạt,1330612,1330612,2,4.89,121,https://a0.muscache.com/im/pictures/miso/Hosting-704828762802485541/original/b254e8f3-a100-4e73-9473-f795d8ceeff7.jpeg,https://www.airbnb.com.vn/rooms/704828762802485541
Nhà tại Dalat,11Cottage Đà Lạt,3423531,3423531,2,0.0,0,https://a0.muscache.com/im/pictures/hosting/Hosting-1235902594182368108/original/53ada72d-4e2b-4cc2-808c-5e20d00e7434.jpeg,https://www.airbnb.com.vn/rooms/1235902594182368108
Nơi ở tại Dalat,Toàn cảnh Đà Lạt,2396472,2396472,2,4.6,5,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMzNjE5ODE4MjY2OTY4NzU3NQ%3D%3D/original/4048bff1-daa1-4f6e-9517-97ac5f42a933.jpeg,https://www.airbnb.com.vn/rooms/1336198182669687575
Nhà tại Dalat,The Fairy House. Đà Lạt,4108237,4108237,2,0.0,0,https://a0.muscache.com/im/pictures/hosting/Hosting-1437404998260656679/original/8b984863-c372-4904-b3e6-b87323c47684.jpeg,https://www.airbnb.com.vn/rooms/1437404998260656679
Nhà tại Dalat,Hè Home,3980150,3980150,2,4.83,12,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA3OTM4NDA5MTg4MTAzNDgwNQ%3D%3D/original/8ad2e656-604e-4443-9f8e-5c0d5c1c27e1.jpeg,https://www.airbnb.com.vn/rooms/1079384091881034805
Nhà tại Dalat,Biệt thự Bit By Bit Đà Lạt,5172278,5172278,2,4.91,22,https://a0.muscache.com/im/pictures/miso/Hosting-1195461213861686041/original/e4ff6b73-5c6d-4fde-a5ea-25325db530a0.jpeg,https://www.airbnb.com.vn/rooms/1195461213861686041
Nhà tại Dalat,"Ở lại, cảmnhận & tình yêu_Thung lũng",1795188,1795188,2,4.79,258,https://a0.muscache.com/im/pictures/9575853f-6388-43c4-ac9a-0e054f0e6a88.jpg,https://www.airbnb.com.vn/rooms/26759335
Biệt thự tại Dalat,Luxury Villa Dalat View Rừng Thông Cực Chill (New),9004381,7988239,2,4.95,22,https://a0.muscache.com/im/pictures/hosting/Hosting-1334028723573802991/original/7db4aacd-286b-4c2f-9d0e-60e4abfbb425.jpeg,https://www.airbnb.com.vn/rooms/1334028723573802991
Căn hộ tại Phường 1,Đêm tối ở trung tâm Đà Lạt,1196952,958589,2,4.69,135,https://a0.muscache.com/im/pictures/miso/Hosting-47985066/original/8df0ad74-8371-4e0c-a748-4c7b0776c46b.jpeg,https://www.airbnb.com.vn/rooms/47985066
Phòng tại Phường 1,Phòng ấm áp đón nắng mai,672153,672153,2,4.9,20,https://a0.muscache.com/im/pictures/miso/Hosting-1242540737594712310/original/b00e5866-a19a-4bdc-a667-ec80d407aef0.jpeg,https://www.airbnb.com.vn/rooms/1263548815502726027
Căn hộ tại Dalat,Sunset City View Studio | Bồn tắm Minibar và Netflix,1561986,1405788,2,5.0,11,https://a0.muscache.com/im/pictures/hosting/Hosting-1353659801042006667/original/a5c94d76-fdc5-4ad4-a845-ee768c4ccce8.jpeg,https://www.airbnb.com.vn/rooms/1353659801042006667
Biệt thự tại Dalat,Retreat House w Garden/cách chợ Đà Lạt 3 km,4491176,4491176,2,4.95,20,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI4NTQxNTExOTM2NzQ5MzU3Nw%3D%3D/original/04b4fe11-16c8-4043-8e2b-4697b704f118.jpeg,https://www.airbnb.com.vn/rooms/1285415119367493577
Căn hộ tại Dalat,Căn hộ Homey-Feels like home,2967060,2967060,2,0.0,0,https://a0.muscache.com/im/pictures/hosting/Hosting-1441789138212629800/original/e8bbe4ba-cc90-4256-af62-e65e8eae2bd9.jpeg,https://www.airbnb.com.vn/rooms/1441789138212629800
Nhà tại Dalat,Hơi thở tự nhiên gần trung tâm,3050366,3050366,2,0.0,0,https://a0.muscache.com/im/pictures/miso/Hosting-1432263238067659175/original/3dc06409-3633-448f-8154-4dc17408d896.jpeg,https://www.airbnb.com.vn/rooms/1432263238067659175
Căn hộ tại Dalat,Căn hộ Mimimo Ghibli Studio ( 2 phòng ngủ),2944237,2944237,2,4.73,15,https://a0.muscache.com/im/pictures/hosting/Hosting-1236086806003695030/original/da3ce2ca-69de-44e2-b35d-b6ea6169cd81.jpeg,https://www.airbnb.com.vn/rooms/1236086806003695030
Biệt thự tại Dalat,2 phòng ngủ/3 giường*Nhà bếp*Máy giặt*Cách hồ Xuân Hà 500 m,3696417,3234947,2,0.0,0,https://a0.muscache.com/im/pictures/hosting/Hosting-1343985581889026022/original/13f3ca3f-4e86-4125-b3d4-00ad9681be61.jpeg,https://www.airbnb.com.vn/rooms/1343985581889026022
Căn hộ tại Phường 1,Căn hộ Indochine ở trung tâm thành phố Đà Lạt,4792943,4792943,2,5.0,13,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM0Njk2NDkwNDI5MDk1NTQxOQ==/original/8d115d98-15ee-475a-be25-819d3c14b529.jpeg,https://www.airbnb.com.vn/rooms/1346964904290955419
Căn hộ tại Dalat,"Căn hộ hướng rừng, bồn tắm và ban công nhìn ra cây thông",3472647,3472647,2,4.9,10,https://a0.muscache.com/im/pictures/hosting/Hosting-1353640437460779954/original/9bcdfc7a-53af-44b1-b5c5-d0e8e142d7a4.jpeg,https://www.airbnb.com.vn/rooms/1353640437460779954
Căn hộ tại Phường 1,Căn hộ Industrial,3880002,3880002,2,5.0,13,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM1Nzg2MTA1MDYxOTAzMjQ2Mw==/original/b96fba6f-3cc0-4870-be07-a744c7c891d1.jpeg,https://www.airbnb.com.vn/rooms/1357861050619032463
Phòng tại Dalat,Mối Tình Đầu Homestay Bus Room,1355718,1355718,2,4.95,39,https://a0.muscache.com/im/pictures/miso/Hosting-1265570601946726814/original/dbb3b6f8-5ca2-4323-8438-b4218f7f45ca.jpeg,https://www.airbnb.com.vn/rooms/1266439494907750003
